Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth1,69,2024-11-18 06:50:42.188,192.168.1.10,192.168.1.20,TCP,66,36906 → 44818 0x0010
s1-eth2,46,2024-11-18 06:50:42.184,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,47,2024-11-18 06:50:42.187,192.168.1.10,192.168.1.20,TCP,66,36906 → 44818 0x0011
s1-eth2,48,2024-11-18 06:50:42.188,192.168.1.20,192.168.1.10,TCP,66,44818 → 36906 0x0011
s1-eth1,70,2024-11-18 06:50:42.236,fe80::98de:5bff:fea6:a8b9,ff02::fb,MDNS,215,MDNS
s1-eth1,71,2024-11-18 06:50:42.388,fe80::98de:5bff:fea6:a8b9,ff02::2,ICMPV6,70,ICMPV6
s1-eth1,72,2024-11-18 06:50:42.477,192.168.1.10,192.168.1.30,TCP,74,60092 → 44818 0x0002
s1-eth1,73,2024-11-18 06:50:42.477,192.168.1.30,192.168.1.10,TCP,74,44818 → 60092 0x0012
s1-eth3,37,2024-11-18 06:50:42.547,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,38,2024-11-18 06:50:42.547,192.168.1.30,192.168.1.10,TCP,66,44818 → 60092 0x0010
s1-eth3,39,2024-11-18 06:50:42.548,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,49,2024-11-18 06:50:42.188,192.168.1.10,192.168.1.20,TCP,66,36906 → 44818 0x0010
s1-eth2,50,2024-11-18 06:50:42.388,fe80::21d:9cff:fec8:bc46,ff02::2,ICMPV6,70,ICMPV6
s1-eth1,74,2024-11-18 06:50:42.477,192.168.1.10,192.168.1.30,TCP,66,60092 → 44818 0x0010
s1-eth1,75,2024-11-18 06:50:42.547,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,40,2024-11-18 06:50:42.548,192.168.1.10,192.168.1.30,TCP,66,60092 → 44818 0x0010
s1-eth3,41,2024-11-18 06:50:42.550,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,42,2024-11-18 06:50:42.557,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,43,2024-11-18 06:50:42.562,192.168.1.10,192.168.1.30,TCP,66,60092 → 44818 0x0011
s1-eth3,44,2024-11-18 06:50:42.563,192.168.1.30,192.168.1.10,TCP,66,44818 → 60092 0x0011
s1-eth3,45,2024-11-18 06:50:42.563,192.168.1.10,192.168.1.30,TCP,66,60092 → 44818 0x0010
s1-eth1,76,2024-11-18 06:50:42.547,192.168.1.30,192.168.1.10,TCP,66,44818 → 60092 0x0010
s1-eth1,77,2024-11-18 06:50:42.548,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,78,2024-11-18 06:50:42.548,192.168.1.10,192.168.1.30,TCP,66,60092 → 44818 0x0010
s1-eth1,79,2024-11-18 06:50:42.550,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth1,80,2024-11-18 06:50:42.557,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,81,2024-11-18 06:50:42.562,192.168.1.10,192.168.1.30,TCP,66,60092 → 44818 0x0011
s1-eth1,82,2024-11-18 06:50:42.563,192.168.1.30,192.168.1.10,TCP,66,44818 → 60092 0x0011
s1-eth1,83,2024-11-18 06:50:42.563,192.168.1.10,192.168.1.30,TCP,66,60092 → 44818 0x0010
s1-eth1,84,2024-11-18 06:50:42.900,fe80::21d:9cff:fec7:b070,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,51,2024-11-18 06:50:42.708,fe80::c87a:deff:fe55:81fe,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,52,2024-11-18 06:50:43.001,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,215,MDNS
s1-eth1,85,2024-11-18 06:50:43.284,192.168.1.10,192.168.1.20,TCP,74,36910 → 44818 0x0002
s1-eth1,86,2024-11-18 06:50:43.284,192.168.1.20,192.168.1.10,TCP,74,44818 → 36910 0x0012
s1-eth1,87,2024-11-18 06:50:43.284,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth1,88,2024-11-18 06:50:43.318,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,53,2024-11-18 06:50:43.284,192.168.1.10,192.168.1.20,TCP,74,36910 → 44818 0x0002
s1-eth1,89,2024-11-18 06:50:43.318,192.168.1.20,192.168.1.10,TCP,66,44818 → 36910 0x0010
s1-eth1,90,2024-11-18 06:50:43.321,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,54,2024-11-18 06:50:43.284,192.168.1.20,192.168.1.10,TCP,74,44818 → 36910 0x0012
s1-eth1,91,2024-11-18 06:50:43.321,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth2,55,2024-11-18 06:50:43.284,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth2,56,2024-11-18 06:50:43.318,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,57,2024-11-18 06:50:43.318,192.168.1.20,192.168.1.10,TCP,66,44818 → 36910 0x0010
s1-eth2,58,2024-11-18 06:50:43.321,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,59,2024-11-18 06:50:43.321,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth1,92,2024-11-18 06:50:43.326,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth1,93,2024-11-18 06:50:43.341,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,94,2024-11-18 06:50:43.351,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0011
s1-eth1,95,2024-11-18 06:50:43.351,192.168.1.20,192.168.1.10,TCP,66,44818 → 36910 0x0011
s1-eth1,96,2024-11-18 06:50:43.351,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth2,60,2024-11-18 06:50:43.326,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,61,2024-11-18 06:50:43.341,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,62,2024-11-18 06:50:43.351,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0011
s1-eth2,63,2024-11-18 06:50:43.351,192.168.1.20,192.168.1.10,TCP,66,44818 → 36910 0x0011
s1-eth2,64,2024-11-18 06:50:43.351,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth1,97,2024-11-18 06:50:43.633,192.168.1.10,192.168.1.30,TCP,74,60098 → 44818 0x0002
s1-eth1,98,2024-11-18 06:50:43.633,192.168.1.30,192.168.1.10,TCP,74,44818 → 60098 0x0012
s1-eth3,46,2024-11-18 06:50:43.633,192.168.1.10,192.168.1.30,TCP,74,60098 → 44818 0x0002
s1-eth3,47,2024-11-18 06:50:43.633,192.168.1.30,192.168.1.10,TCP,74,44818 → 60098 0x0012
s1-eth1,99,2024-11-18 06:50:43.633,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth3,48,2024-11-18 06:50:43.633,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth1,100,2024-11-18 06:50:43.666,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,49,2024-11-18 06:50:43.666,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,50,2024-11-18 06:50:43.666,192.168.1.30,192.168.1.10,TCP,66,44818 → 60098 0x0010
s1-eth1,101,2024-11-18 06:50:43.666,192.168.1.30,192.168.1.10,TCP,66,44818 → 60098 0x0010
s1-eth1,102,2024-11-18 06:50:43.669,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,103,2024-11-18 06:50:43.669,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth1,104,2024-11-18 06:50:43.671,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,51,2024-11-18 06:50:43.669,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,105,2024-11-18 06:50:43.688,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,52,2024-11-18 06:50:43.669,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth3,53,2024-11-18 06:50:43.671,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth1,106,2024-11-18 06:50:43.693,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0011
s1-eth1,107,2024-11-18 06:50:43.693,192.168.1.30,192.168.1.10,TCP,66,44818 → 60098 0x0011
s1-eth1,108,2024-11-18 06:50:43.693,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth3,54,2024-11-18 06:50:43.688,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,55,2024-11-18 06:50:43.693,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0011
s1-eth3,56,2024-11-18 06:50:43.693,192.168.1.30,192.168.1.10,TCP,66,44818 → 60098 0x0011
s1-eth3,57,2024-11-18 06:50:43.693,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth1,109,2024-11-18 06:50:44.358,192.168.1.10,192.168.1.20,TCP,74,36914 → 44818 0x0002
s1-eth1,110,2024-11-18 06:50:44.358,192.168.1.20,192.168.1.10,TCP,74,44818 → 36914 0x0012
s1-eth1,111,2024-11-18 06:50:44.358,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0010
s1-eth1,112,2024-11-18 06:50:44.386,192.168.1.10,192.168.1.20,TCP,74,36930 → 44818 0x0002
s1-eth1,113,2024-11-18 06:50:44.386,192.168.1.20,192.168.1.10,TCP,74,44818 → 36930 0x0012
